Demand1,Demand2,Demand3,Bond Term,Bond Int,Discount,Rest Eff,Evap mult,JLWTP permit,JLWTP Const,Inflow Amp,Inflow freq,Inflow phase
0.602284514,1.441770737,1.365351266,0.938145729,1.085658313,1.039063373,1.139704014,0.960798452,1.455521806,1.121977968,1.075081993,0.486273156,0.420571882
0.602284514,1.408524087,1.738059153,0.033791744,0.903350871,1.021017081,0.868305396,1.082472993,1.449319914,1.106503281,0.867753526,0.245593331,1.316841712
0.628482857,1.642761956,1.144769767,0.022328878,1.058607858,1.096294322,1.192675944,0.936719483,1.042588576,1.183502921,0.847640307,0.384337445,1.3804407
1.2479189,0.894927153,-0.230466257,0.310305171,1.139465879,0.752914654,1.081925294,1.095474977,1.01218946,1.143613399,1.043529811,0.239972947,0.701786697
0.268414881,0.39622187,1.565618335,1.123649694,1.124876139,0.712338958,1.066385602,0.954890502,1.042212998,1.001104777,1.073309903,0.221915935,-1.286373561
-0.015952286,0.211606782,-0.288548702,0.00603654,0.777998116,1.215974155,0.946062215,0.93280688,1.090000193,1.056969569,1.123333266,0.483613367,1.009125912
0.215166024,0.594273317,1.392232511,0.085119051,0.683263408,1.22176628,0.934957966,1.000545721,1.019284207,1.072320403,0.898507491,0.478025578,-0.530888229
1.276838518,0.658246584,1.914752832,3.208274073,1.110604692,0.955976687,0.944692947,0.915068983,1.497903222,1.135093879,0.839603315,0.360977248,-0.247573224
1.678749381,1.888361003,1.945888072,2.557542119,0.715899598,1.311282946,1.182201675,1.013090647,0.953074688,1.148459869,0.812240093,0.406477379,-0.932421809
0.965142578,0.833159154,2.293011557,1.577924981,0.974250789,1.241561962,1.025576559,0.913560353,0.997444714,1.026646904,1.04935189,0.362069191,-1.513621712
-0.117610257,1.343925371,2.810489408,2.399865571,0.755079228,1.002443656,1.150998907,0.978866545,1.353440639,1.061491714,0.911043231,0.408730895,0.051652622
0.194149683,0.551058288,0.852748054,2.092096262,0.662591844,1.141218913,0.929729912,1.025230572,1.200022535,1.017413231,0.899477523,0.242667003,-0.114485091
0.755554962,1.828541995,0.691992865,3.145843054,0.832844635,0.93187684,0.901738226,0.922417178,0.868161327,1.00380017,0.908032086,0.414668163,-0.288763845
